,category,price,price_1m2,area,title_deed,repair,room_number,floor_house,total_floors,title_length,floor_status
0,New construction,183000.0,1790.0,102.0,don't exist,exist,2.0,2.0,17.0,49,1
1,Old building,190000.0,2000.0,95.0,exist,exist,3.0,4.0,9.0,47,2
2,New construction,294000.0,1550.0,190.0,exist,don't exist,3.0,6.0,16.0,46,2
3,Old building,87000.0,1930.0,45.0,exist,exist,1.0,5.0,5.0,46,3
4,New construction,125000.0,2160.0,58.0,don't exist,exist,2.0,7.0,16.0,51,2
5,Old building,150000.0,2730.0,55.0,exist,exist,2.0,2.0,6.0,46,2
6,New construction,62000.0,1510.0,41.0,exist,exist,2.0,3.0,10.0,46,2
7,New construction,729000.0,3390.0,215.0,exist,don't exist,4.0,5.0,11.0,51,2
8,Old building,365000.0,2090.0,175.0,exist,exist,5.0,9.0,10.0,52,3
9,New construction,105000.0,1240.0,85.0,exist,exist,3.0,5.0,14.0,46,2
10,New construction,235000.0,1960.0,120.0,exist,exist,4.0,7.0,12.0,51,2
11,New construction,153000.0,1910.0,80.0,exist,exist,3.0,6.0,12.0,55,2
12,New construction,142000.0,2220.0,64.0,exist,exist,2.0,3.0,19.0,46,1
13,New construction,950000.0,4040.0,234.9,exist,exist,5.0,13.0,26.0,59,2
14,New construction,480000.0,3060.0,157.0,exist,exist,3.0,3.0,12.0,51,2
15,New construction,447000.0,2570.0,174.0,exist,don't exist,3.0,6.0,21.0,46,2
16,New construction,313320.0,2100.0,149.2,don't exist,don't exist,3.0,4.0,18.0,48,1
17,Old building,175000.0,2690.0,65.0,exist,exist,2.0,2.0,4.0,46,2
18,New construction,188000.0,2760.0,68.0,don't exist,exist,2.0,7.0,16.0,45,2
19,New construction,195000.0,3610.0,54.0,don't exist,exist,2.0,10.0,13.0,47,3
20,New construction,340000.0,3950.0,86.0,exist,exist,3.0,12.0,17.0,57,2
21,New construction,370000.0,2610.0,142.0,exist,don't exist,3.0,9.0,16.0,46,2
22,New construction,680000.0,3400.0,200.0,exist,exist,4.0,4.0,15.0,46,2
23,New construction,515000.0,2850.0,181.0,exist,exist,4.0,12.0,18.0,57,2
24,Old building,108000.0,2400.0,45.0,exist,exist,1.0,1.0,3.0,46,2
25,New construction,267000.0,2320.0,115.0,exist,exist,3.0,8.0,17.0,46,2
26,New construction,128000.0,2330.0,55.0,exist,exist,2.0,16.0,18.0,51,3
27,New construction,235000.0,1560.0,151.1,exist,don't exist,3.0,6.0,17.0,51,2
28,New construction,140000.0,2120.0,66.0,don't exist,exist,2.0,6.0,8.0,50,2
29,Old building,190000.0,2000.0,95.0,exist,exist,3.0,2.0,5.0,46,2
30,New construction,55000.0,1220.0,45.0,exist,exist,2.0,3.0,11.0,46,2
31,Old building,350000.0,4120.0,85.0,exist,exist,3.0,9.0,10.0,46,3
32,Old building,86500.0,2160.0,40.0,exist,exist,2.0,2.0,5.0,48,2
33,New construction,410000.0,2930.0,140.0,don't exist,exist,3.0,11.0,16.0,57,2
34,Old building,170000.0,1350.0,126.0,exist,exist,5.0,1.0,5.0,51,1
35,New construction,285000.0,1730.0,165.0,exist,don't exist,3.0,8.0,15.0,46,2
36,Old building,225000.0,2500.0,90.0,exist,exist,3.0,8.0,8.0,46,3
37,New construction,150000.0,1320.0,114.0,exist,exist,3.0,9.0,19.0,49,2
38,New construction,150000.0,2340.0,64.0,don't exist,exist,3.0,1.0,15.0,48,1
39,Old building,138000.0,2300.0,60.0,exist,exist,2.0,3.0,3.0,45,3
40,Old building,135000.0,2450.0,55.0,exist,exist,2.0,9.0,9.0,49,3
41,New construction,245000.0,1960.0,125.0,exist,exist,4.0,4.0,16.0,49,2
42,New construction,165000.0,1740.0,95.0,exist,exist,2.0,2.0,14.0,48,1
43,Old building,100000.0,2860.0,35.0,exist,don't exist,1.0,3.0,5.0,47,2
44,New construction,205000.0,1860.0,110.0,exist,exist,3.0,7.0,17.0,46,2
45,New construction,212000.0,1860.0,114.0,exist,exist,3.0,16.0,17.0,49,3
46,New construction,205000.0,1950.0,105.0,exist,exist,2.0,5.0,18.0,46,2
47,Old building,119900.0,1480.0,81.0,exist,exist,3.0,2.0,9.0,52,1
48,New construction,86000.0,1930.0,44.5,exist,exist,2.0,12.0,13.0,53,3
49,New construction,160000.0,2760.0,58.0,don't exist,exist,2.0,11.0,13.0,56,3
50,Old building,103000.0,3430.0,30.0,exist,exist,1.0,4.0,5.0,57,3
51,New construction,390000.0,2230.0,175.0,exist,exist,3.0,12.0,15.0,48,3
52,Old building,105000.0,1170.0,90.0,exist,exist,3.0,5.0,5.0,46,3
53,New construction,236000.0,1970.0,120.0,exist,exist,4.0,8.0,16.0,49,2
54,New construction,220000.0,2420.0,91.0,exist,exist,3.0,9.0,19.0,48,2
55,New construction,130000.0,2710.0,48.0,exist,exist,1.0,15.0,16.0,50,3
56,New construction,160000.0,1780.0,90.0,exist,exist,3.0,8.0,10.0,50,3
57,New construction,399900.0,3200.0,125.0,exist,exist,3.0,11.0,18.0,57,2
58,New construction,238000.0,1540.0,155.0,exist,don't exist,3.0,7.0,16.0,49,2
59,New construction,275000.0,1770.0,155.0,exist,exist,3.0,15.0,18.0,51,3
60,Old building,75000.0,1830.0,41.0,exist,exist,1.0,2.0,4.0,49,2
61,New construction,63000.0,1260.0,50.0,exist,exist,2.0,10.0,11.0,46,3
62,Old building,99000.0,2200.0,45.0,exist,exist,2.0,8.0,9.0,46,3
63,New construction,212000.0,2360.0,90.0,exist,exist,3.0,16.0,16.0,50,3
64,New construction,290000.0,2230.0,130.0,exist,exist,3.0,16.0,17.0,46,3
65,New construction,210000.0,2100.0,100.0,exist,don't exist,2.0,15.0,18.0,48,3
66,New construction,185000.0,2060.0,90.0,exist,exist,3.0,10.0,18.0,44,2
67,New construction,375000.0,2800.0,134.0,exist,exist,4.0,4.0,17.0,49,1
68,Old building,90000.0,2570.0,35.0,exist,exist,1.0,1.0,5.0,49,1
69,Old building,350000.0,5000.0,70.0,exist,exist,3.0,1.0,2.0,51,2
70,Old building,87500.0,1860.0,47.0,exist,exist,2.0,1.0,7.0,45,1
71,Old building,87000.0,2180.0,40.0,exist,exist,3.0,3.0,5.0,52,2
72,New construction,223000.0,3500.0,63.7,don't exist,don't exist,2.0,2.0,7.0,49,2
73,New construction,132000.0,1970.0,67.0,exist,exist,2.0,16.0,17.0,56,3
74,New construction,175000.0,1730.0,101.0,exist,exist,3.0,14.0,17.0,49,3
75,Old building,165000.0,1500.0,110.0,exist,exist,4.0,7.0,9.0,50,3
76,New construction,167000.0,2490.0,67.0,don't exist,exist,2.0,12.0,18.0,56,2
77,New construction,68000.0,756.0,90.0,don't exist,don't exist,2.0,9.0,14.0,44,2
78,New construction,230000.0,2000.0,115.0,exist,don't exist,2.0,9.0,17.0,46,2
79,New construction,339000.0,2400.0,141.0,exist,exist,3.0,10.0,16.0,47,2
80,New construction,270000.0,2670.0,101.0,exist,exist,3.0,8.0,14.0,46,2
81,Old building,92000.0,2630.0,35.0,exist,exist,1.0,2.0,5.0,49,2
82,New construction,620000.0,2910.0,213.0,exist,exist,4.0,6.0,18.0,57,2
83,Old building,84000.0,2400.0,35.0,exist,exist,1.0,4.0,5.0,52,3
84,New construction,158000.0,2260.0,70.0,exist,exist,3.0,13.0,15.0,50,3
85,Old building,61000.0,2540.0,24.0,exist,exist,1.0,1.0,3.0,46,2
86,New construction,295000.0,1740.0,170.0,exist,exist,5.0,4.0,17.0,52,1
87,Old building,399000.0,3070.0,130.0,exist,exist,4.0,2.0,5.0,52,2
88,New construction,146000.0,2250.0,65.0,don't exist,exist,2.0,8.0,16.0,51,2
89,New construction,235000.0,2350.0,100.0,exist,exist,3.0,16.0,18.0,55,3
90,New construction,181000.0,2700.0,67.1,don't exist,don't exist,1.0,17.0,20.0,58,3
91,New construction,212000.0,1840.0,115.0,exist,exist,3.0,16.0,17.0,49,3
92,New construction,260000.0,2260.0,115.0,don't exist,exist,3.0,15.0,20.0,46,2
93,New construction,235500.0,1730.0,136.0,don't exist,don't exist,3.0,6.0,18.0,49,2
94,New construction,175000.0,2500.0,70.0,exist,exist,2.0,6.0,18.0,45,2
